,index,sample_size_method,num_trees,max_depth,feat_choice,fold_num,auc
0,0,sqrt,50,100,sqrt,1,0.6438731306777065
1,1,sqrt,50,100,sqrt,2,0.6705835145006268
2,2,sqrt,50,100,sqrt,3,0.6275679263929073
3,3,sqrt,50,100,sqrt,4,0.6191754666955087
4,4,sqrt,50,100,sqrt,5,0.5779668240348137
5,0,sqrt,50,100,half_sqrt,1,0.6326700835661353
6,1,sqrt,50,100,half_sqrt,2,0.6489500256211487
7,2,sqrt,50,100,half_sqrt,3,0.6320018652540978
8,3,sqrt,50,100,half_sqrt,4,0.5551009884806974
9,4,sqrt,50,100,half_sqrt,5,0.5180324693140536
10,0,sqrt,50,100,2sqrt,1,0.6299518426730382
11,1,sqrt,50,100,2sqrt,2,0.662971792985162
12,2,sqrt,50,100,2sqrt,3,0.6284612867084972
13,3,sqrt,50,100,2sqrt,4,0.6130306719795356
14,4,sqrt,50,100,2sqrt,5,0.649077679194283
15,0,sqrt,50,500,sqrt,1,0.6438731306777065
16,1,sqrt,50,500,sqrt,2,0.6705835145006268
17,2,sqrt,50,500,sqrt,3,0.6275679263929073
18,3,sqrt,50,500,sqrt,4,0.6191754666955087
19,4,sqrt,50,500,sqrt,5,0.5779668240348137
20,0,sqrt,50,500,half_sqrt,1,0.6326700835661353
21,1,sqrt,50,500,half_sqrt,2,0.6489500256211487
22,2,sqrt,50,500,half_sqrt,3,0.6320018652540978
23,3,sqrt,50,500,half_sqrt,4,0.5551009884806974
24,4,sqrt,50,500,half_sqrt,5,0.5180324693140536
25,0,sqrt,50,500,2sqrt,1,0.6299518426730382
26,1,sqrt,50,500,2sqrt,2,0.662971792985162
27,2,sqrt,50,500,2sqrt,3,0.6284612867084972
28,3,sqrt,50,500,2sqrt,4,0.6130306719795356
29,4,sqrt,50,500,2sqrt,5,0.649077679194283
30,0,sqrt,50,1000,sqrt,1,0.6438731306777065
31,1,sqrt,50,1000,sqrt,2,0.6705835145006268
32,2,sqrt,50,1000,sqrt,3,0.6275679263929073
33,3,sqrt,50,1000,sqrt,4,0.6191754666955087
34,4,sqrt,50,1000,sqrt,5,0.5779668240348137
35,0,sqrt,50,1000,half_sqrt,1,0.6326700835661353
36,1,sqrt,50,1000,half_sqrt,2,0.6489500256211487
37,2,sqrt,50,1000,half_sqrt,3,0.6320018652540978
38,3,sqrt,50,1000,half_sqrt,4,0.5551009884806974
39,4,sqrt,50,1000,half_sqrt,5,0.5180324693140536
40,0,sqrt,50,1000,2sqrt,1,0.6299518426730382
41,1,sqrt,50,1000,2sqrt,2,0.662971792985162
42,2,sqrt,50,1000,2sqrt,3,0.6284612867084972
43,3,sqrt,50,1000,2sqrt,4,0.6130306719795356
44,4,sqrt,50,1000,2sqrt,5,0.649077679194283
45,0,sqrt,50,3000,sqrt,1,0.6438731306777065
46,1,sqrt,50,3000,sqrt,2,0.6705835145006268
47,2,sqrt,50,3000,sqrt,3,0.6275679263929073
48,3,sqrt,50,3000,sqrt,4,0.6191754666955087
49,4,sqrt,50,3000,sqrt,5,0.5779668240348137
50,0,sqrt,50,3000,half_sqrt,1,0.6326700835661353
51,1,sqrt,50,3000,half_sqrt,2,0.6489500256211487
52,2,sqrt,50,3000,half_sqrt,3,0.6320018652540978
53,3,sqrt,50,3000,half_sqrt,4,0.5551009884806974
54,4,sqrt,50,3000,half_sqrt,5,0.5180324693140536
55,0,sqrt,50,3000,2sqrt,1,0.6299518426730382
56,1,sqrt,50,3000,2sqrt,2,0.662971792985162
57,2,sqrt,50,3000,2sqrt,3,0.6284612867084972
58,3,sqrt,50,3000,2sqrt,4,0.6130306719795356
59,4,sqrt,50,3000,2sqrt,5,0.649077679194283
60,0,sqrt,100,100,sqrt,1,0.6641191949431775
61,1,sqrt,100,100,sqrt,2,0.7001431988063005
62,2,sqrt,100,100,sqrt,3,0.6593772245531344
63,3,sqrt,100,100,sqrt,4,0.6262419184955766
64,4,sqrt,100,100,sqrt,5,0.6424793768836222
65,0,sqrt,100,100,half_sqrt,1,0.611770442943641
66,1,sqrt,100,100,half_sqrt,2,0.6583096409299618
67,2,sqrt,100,100,half_sqrt,3,0.6521350190839694
68,3,sqrt,100,100,half_sqrt,4,0.60558362546026
69,4,sqrt,100,100,half_sqrt,5,0.5770365755130221
70,0,sqrt,100,100,2sqrt,1,0.5930692184928987
71,1,sqrt,100,100,2sqrt,2,0.7044103581536737
72,2,sqrt,100,100,2sqrt,3,0.675157669416574
73,3,sqrt,100,100,2sqrt,4,0.6143523399467904
74,4,sqrt,100,100,2sqrt,5,0.6834036580355983
75,0,sqrt,100,500,sqrt,1,0.6641191949431775
76,1,sqrt,100,500,sqrt,2,0.7001431988063005
77,2,sqrt,100,500,sqrt,3,0.6593772245531344
78,3,sqrt,100,500,sqrt,4,0.6262419184955766
79,4,sqrt,100,500,sqrt,5,0.6424793768836222
80,0,sqrt,100,500,half_sqrt,1,0.611770442943641
81,1,sqrt,100,500,half_sqrt,2,0.6583096409299618
82,2,sqrt,100,500,half_sqrt,3,0.6521350190839694
83,3,sqrt,100,500,half_sqrt,4,0.60558362546026
84,4,sqrt,100,500,half_sqrt,5,0.5770365755130221
85,0,sqrt,100,500,2sqrt,1,0.5930692184928987
86,1,sqrt,100,500,2sqrt,2,0.7044103581536737
87,2,sqrt,100,500,2sqrt,3,0.675157669416574
88,3,sqrt,100,500,2sqrt,4,0.6143523399467904
